DESTINO,ORIGEN,CANTIDAD,FOBDOL,FOBPES
BOL,BOG,1649,79751,334247953
BOL,BOG,2210,83295,350297250
BOL,BOG,970,6528,27619453
BOL,BOG,220,27000,117703799
BOL,BOG,77,175,767666
BOL,BOG,5,8,34512
BOL,BOG,95,495,2006409
BOL,BOG,99,635,2579485
BOL,BOG,285,1382,5601567
BOL,BOG,5,14,58374
BOL,BOG,270,1106,4547109
BOL,BOG,98,425,1724105
BOL,BOG,2177,5506,22321016
BOL,BOG,363,1137,4609287
BOL,BOG,176,707,2864184
BOL,BOG,64,239,968605
BOL,BOG,1867,4380,17779018
BOL,BOG,504,2108,8546745
BOL,BOG,96,240,975790
BOL,BOG,28,268,1085110
BOL,BOG,16,72,295984
BOL,BOG,244,1621,6571794
BOL,BOG,8,48,192635
BOL,BOG,126,254,1029209
BOL,BOG,120,1000,4359400
BOL,BOG,98,1752,7685428
BOL,BOG,4,21,91418
BOL,BOG,13,89,392343
BOL,BOG,26,125,547455
BOL,BOG,15,104,457967
BOL,BOG,300,2267,9667252
BOL,BOG,289,1171,5064945
BOL,BOG,57,292,1282703
BOL,BOG,92,336,1427301
BOL,BOG,41,177,776965
BOL,BOG,812,1958,8575352
BOL,BOG,236,1152,5046474
BOL,BOG,45,134,579868
BOL,BOG,148,483,2030810
BOL,BOG,84,484,2048745
BOL,BOG,825,1903,8277937
BOL,BOG,532,2168,9474631
BOL,BOG,107,432,1860013
BOL,BOG,17,82,344988
BOL,BOG,314,2318,10144503
BOL,BOG,7,31,130584
BOL,BOG,178,1433,6169137
BOL,BOG,33,196,859873
BOL,BOG,8,25,109140
BOL,BOG,218,1249,5260852
BOL,BOG,46,211,920803
BOL,BOG,29,63,274780
BOL,BOG,161,3896,16189017
BOL,BOG,25,697,2897032
BOL,BOG,20,397,1634032
BOL,BOG,4,168,736959
BOL,BOG,3,5374,23573911
BOL,BOG,1,394,1728344
BOL,BOG,2,100,438666
BOL,BOG,5,685,3004862
BOL,BOG,3,145,636066
BOL,BOG,180,5130,21314842
BOL,BOG,81,8222,35842987
BOL,BOG,151,7852,34230009
BOL,BOG,16,430,1782637
BOL,BOG,30,732,3031527
BOL,BOG,222,3710,15365451
BOL,BOG,383,7323,30328686
BOL,BOG,28,1471,6092872
BOL,BOG,337,794,3376159
BOL,BOG,100,5300,23249298
BOL,BOG,1,22,93546
BOL,BOG,586,7149,29463746
BOL,BOG,1,19,80790
BOL,BOG,1,21,89294
BOL,BOG,5,108,459226
BOL,BOG,504,8534,35667232
BOL,BOG,3,58,246621
BOL,BOG,1,19,80790
BOL,BOG,157,4021,17083444
BOL,BOG,20000,3389,14238145
BOL,BOG,77,638,2626895
BOL,BOG,42,263,1081663
BOL,BOG,40,4,16566
BOL,BOG,130,13,53839
BOL,BOG,53,5077,21093633
BOL,BOG,312,1978,8151905
BOL,BOG,1,34,148220
BOL,BOG,2180,17200,73558925
BOL,BOG,152,6496,27887764
BOL,BOG,143,3951,16741927
BOL,BOG,30,854,3679865
BOL,BOG,976,12328,52877558
BOL,BOG,262,935,3951634
BOL,BOG,115,534,2342301
BOL,BOG,853,117698,498905397
BOL,BOG,827,11529,48807858
BOL,BOG,149,7318,31661805
BOL,BOG,411,10848,46171146
BOL,BOG,203,483,2044045
BOL,BOG,151,2954,12571595
BOL,BOG,173,728,3145683
BOL,BOG,5267,383,1620697
BOL,BOG,92,557,2350015
BOL,BOG,5,26,111252
BOL,BOG,180,1032,4355846
BOL,BOG,7,45,190923
BOL,BOG,5,18,75575
BOL,BOG,105,410,1732450
BOL,BOG,5,22,91619
BOL,BOG,229,536,2261351
BOL,BOG,260,689,2907838
BOL,BOG,98,343,1446235
BOL,BOG,45,196,828374
BOL,BOG,1201,2856,12056178
BOL,BOG,478,1640,6926254
BOL,BOG,274,635,2681407
BOL,BOG,23,218,920416
BOL,BOG,124,593,2503530
BOL,BOG,248,2469,10425733
BOL,BOG,58,165,697827
BOL,BOG,97,437,1844716
BOL,BOG,7,33,138316
BOL,BOG,70,4233,17944197
BOL,BOG,2,13,54596
BOL,BOG,21,216,946814
BOL,BOG,7,66,279629
BOL,BOG,99,5347,22143067
BOL,BOG,21,625,2678578
BOL,BOG,124,7481,32190468
BOL,BOG,201,1217,5174732
BOL,BOG,23,354,1520583
BOL,BOG,26,322,1411671
BOL,BOG,420,2526,11080747
BOL,BOG,46,4912,20740299
BOL,BOG,1337,28236,119974764
BOL,BOG,66,41,174837
BOL,BOG,514,4458,19326932
BOL,BOG,14,492,2112047
BOL,BOG,8,251,1062475
BOL,BOG,153,737,3140334
BOL,BOG,4,6969,29612258
BOL,BOG,1,429,1821886
BOL,BOG,12,5421,23033744
BOL,BOG,2,29863,130998433
BOL,BOG,24,1956,8101631
BOL,BOG,737,6235,27352536
BOL,BOG,217,6462,27338836
BOL,BOG,683,608144,2629073153
BOL,BOG,0,45,187406
BOL,BOG,18,624,2571267
BOL,BOG,0,112,462045
BOL,BOG,38,5404,22269685
BOL,BOG,2,54,221525
BOL,BOG,9,709,2920613
BOL,BOG,27,650,2679763
BOL,BOG,5,106,437198
BOL,BOG,170,6120,25789496
BOL,BUN,7879,81188,350235101
BOL,BUN,199,8332,35527766
BOL,BUN,177,6599,28053368
BOL,BUN,27,723,3069022
BOL,BUN,3649,14646,63833653
BOL,BUN,25,84,370497
BOL,BUN,659,2289,9618773
BOL,BUN,146,825,3620749
BOL,BUN,764,9093,38207454
BOL,BUN,52,2510,10609360
